FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,EnterGateTime,ExitGateTime,OptDepGate,OptArrGate
AA890,N,DFW,CLT,18,48,18,48,49,48,49.0,1488.0,,,0,0,,C37,2016-05-02 22:30:00,2016-05-03 00:18:00,2016-05-02 22:35:00,2016-05-03 00:49:00,2016-05-03 02:30,2016-05-03 05:18,2016-05-03 02:35,2016-05-03 05:49,N580UW,18,48,,C39
AA91,N,DFW,ORD,39,109,39,69,31,109,31.0,69.0,2.0,,150,0,,A10,2016-05-02 22:10:00,2016-05-03 00:39:00,2016-05-02 22:11:00,2016-05-03 00:31:00,2016-05-03 03:10,2016-05-03 05:39,2016-05-03 03:11,2016-05-03 05:31,N922AN,39,69,,C26
AA464,N,DFW,PHX,204,234,124,154,144,234,104.0,154.0,,,0,0,,C35,2016-05-02 21:50:00,2016-05-03 02:04:00,2016-05-02 21:46:00,2016-05-03 01:44:00,2016-05-03 04:50,2016-05-03 07:04,2016-05-03 04:46,2016-05-03 06:44,N551UW,124,154,,A8
AA1403,Y,MIA,DFW,330,500,210,300,330,537,210.0,337.0,2.0,Domestic,0,150,C8,,2016-05-02 05:00:00,2016-05-02 08:45:00,2016-05-02 05:37:00,2016-05-02 09:05:00,2016-05-02 10:00,2016-05-02 12:45,2016-05-02 10:37,2016-05-02 13:05,N382AN,210,300,C22,
AA90,Y,ORD,DFW,340,510,220,310,340,547,220.0,347.0,2.0,Domestic,0,150,C12,,2016-05-02 05:10:00,2016-05-02 07:29:00,2016-05-02 05:47:00,2016-05-02 07:58:00,2016-05-02 10:10,2016-05-02 12:29,2016-05-02 10:47,2016-05-02 12:58,N70504,220,310,A11,
AA835,Y,CLT,DFW,344,514,224,314,344,539,224.0,339.0,2.0,Domestic,0,150,C37,,2016-05-02 05:14:00,2016-05-02 08:43:00,2016-05-02 05:39:00,2016-05-02 09:02:00,2016-05-02 10:14,2016-05-02 12:43,2016-05-02 10:39,2016-05-02 13:02,N185UW,224,314,C21,
AA465,Y,PHX,DFW,430,600,270,360,430,604,270.0,364.0,2.0,Domestic,0,150,C35,,2016-05-02 06:00:00,2016-05-02 06:34:00,2016-05-02 06:04:00,2016-05-02 06:45:00,2016-05-02 11:00,2016-05-02 13:34,2016-05-02 11:04,2016-05-02 13:45,N170US,270,360,B10,
AA2336,Y,MIA,DFW,440,610,280,370,440,605,280.0,365.0,2.0,Domestic,0,150,A36,,2016-05-02 06:10:00,2016-05-02 09:56:00,2016-05-02 06:05:00,2016-05-02 09:41:00,2016-05-02 11:10,2016-05-02 13:56,2016-05-02 11:05,2016-05-02 13:41,N182AN,280,370,C11,
AA1316,Y,PHL,DFW,445,615,285,375,445,620,285.0,380.0,2.0,Domestic,0,150,A13,,2016-05-02 06:15:00,2016-05-02 10:26:00,2016-05-02 06:20:00,2016-05-02 10:15:00,2016-05-02 11:15,2016-05-02 14:26,2016-05-02 11:20,2016-05-02 14:15,N146AA,285,375,C10,
AA2181,Y,MIA,DFW,459,629,299,389,459,654,299.0,414.0,2.0,Domestic,0,150,C26,,2016-05-02 06:29:00,2016-05-02 10:16:00,2016-05-02 06:54:00,2016-05-02 10:33:00,2016-05-02 11:29,2016-05-02 14:16,2016-05-02 11:54,2016-05-02 14:33,N9023N,299,389,A22,
AA1738,N,DFW,PHX,503,700,303,420,527,700,327.0,420.0,2.0,,150,0,,C29,2016-05-02 00:50:00,2016-05-02 05:03:00,2016-05-02 00:47:00,2016-05-02 05:27:00,2016-05-02 07:50,2016-05-02 10:03,2016-05-02 07:47,2016-05-02 10:27,N194UW,303,420,,C12
AA2064,Y,CLT,DFW,503,700,303,420,527,700,327.0,420.0,2.0,Domestic,0,150,C29,,2016-05-02 07:00:00,2016-05-02 10:35:00,2016-05-02 07:00:00,2016-05-02 10:42:00,2016-05-02 12:00,2016-05-02 14:35,2016-05-02 12:00,2016-05-02 14:42,N194UW,303,420,C12,
AA2213,Y,LGA,DFW,510,640,310,400,510,642,310.0,402.0,2.0,Domestic,0,150,A8,,2016-05-02 06:40:00,2016-05-02 11:03:00,2016-05-02 06:42:00,2016-05-02 10:50:00,2016-05-02 11:40,2016-05-02 15:03,2016-05-02 11:42,2016-05-02 14:50,N970NN,310,400,C22,
AA6,N,DFW,OGG,517,547,317,347,442,547,282.0,347.0,1.0,,300,0,,C4,2016-05-02 17:00:00,2016-05-03 05:17:00,2016-05-02 16:47:00,2016-05-03 04:42:00,2016-05-03 03:00,2016-05-03 10:17,2016-05-03 02:47,2016-05-03 09:42,N394AN,317,347,,C26
AA323,Y,STL,DFW,530,700,330,420,530,657,330.0,417.0,2.0,Domestic,0,150,C28,,2016-05-02 07:00:00,2016-05-02 08:42:00,2016-05-02 06:57:00,2016-05-02 08:36:00,2016-05-02 12:00,2016-05-02 13:42,2016-05-02 11:57,2016-05-02 13:36,N475AA,330,420,C21,
AA1343,Y,CUN,DFW,530,700,330,420,530,652,330.0,412.0,,,0,0,C6,,2016-05-02 07:00:00,2016-05-02 09:41:00,2016-05-02 06:52:00,2016-05-02 09:25:00,2016-05-02 12:00,2016-05-02 14:41,2016-05-02 11:52,2016-05-02 14:25,N852NN,330,420,C39,
AA2320,Y,ORD,DFW,530,700,330,420,530,657,330.0,417.0,2.0,Domestic,0,150,C15,,2016-05-02 07:00:00,2016-05-02 09:25:00,2016-05-02 06:57:00,2016-05-02 09:23:00,2016-05-02 12:00,2016-05-02 14:25,2016-05-02 11:57,2016-05-02 14:23,N434AA,330,420,A36,
AA1331,Y,CLE,DFW,530,700,330,420,530,656,330.0,416.0,2.0,Domestic,0,150,C14,,2016-05-02 07:00:00,2016-05-02 10:37:00,2016-05-02 06:56:00,2016-05-02 10:14:00,2016-05-02 12:00,2016-05-02 14:37,2016-05-02 11:56,2016-05-02 14:14,N7528A,330,420,C19,
AA1004,Y,AUS,DFW,530,700,330,420,530,704,330.0,424.0,2.0,Domestic,0,150,C31,,2016-05-02 07:00:00,2016-05-02 08:03:00,2016-05-02 07:04:00,2016-05-02 08:10:00,2016-05-02 12:00,2016-05-02 13:03,2016-05-02 12:04,2016-05-02 13:10,N9622A,330,420,A35,
AA1211,Y,BOS,DFW,535,705,335,425,535,706,335.0,426.0,2.0,Domestic,0,150,A29,,2016-05-02 07:05:00,2016-05-02 11:46:00,2016-05-02 07:06:00,2016-05-02 11:55:00,2016-05-02 12:05,2016-05-02 15:46,2016-05-02 12:06,2016-05-02 15:55,N978AN,335,425,C30,
AA2412,Y,SAT,DFW,535,705,335,425,535,700,335.0,420.0,2.0,Domestic,0,150,C11,,2016-05-02 07:05:00,2016-05-02 08:16:00,2016-05-02 07:00:00,2016-05-02 08:09:00,2016-05-02 12:05,2016-05-02 13:16,2016-05-02 12:00,2016-05-02 13:09,N968TW,335,425,B11,
AA2508,Y,BWI,DFW,535,705,335,425,535,717,335.0,437.0,2.0,Domestic,0,150,A19,,2016-05-02 07:05:00,2016-05-02 11:07:00,2016-05-02 07:17:00,2016-05-02 11:20:00,2016-05-02 12:05,2016-05-02 15:07,2016-05-02 12:17,2016-05-02 15:20,N903AN,335,425,A21,
AA2255,Y,MCO,DFW,535,705,335,425,535,702,335.0,422.0,2.0,Domestic,0,150,A16,,2016-05-02 07:05:00,2016-05-02 10:43:00,2016-05-02 07:02:00,2016-05-02 10:31:00,2016-05-02 12:05,2016-05-02 14:43,2016-05-02 12:02,2016-05-02 14:31,N959NN,335,425,A34,
AA2488,Y,TPA,DFW,535,705,335,425,535,703,335.0,423.0,2.0,Domestic,0,150,C30,,2016-05-02 07:05:00,2016-05-02 10:31:00,2016-05-02 07:03:00,2016-05-02 10:37:00,2016-05-02 12:05,2016-05-02 14:31,2016-05-02 12:03,2016-05-02 14:37,N9630A,335,425,B12,
AA1302,Y,FLL,DFW,540,710,340,430,540,707,340.0,427.0,2.0,Domestic,0,150,A18,,2016-05-02 07:10:00,2016-05-02 10:59:00,2016-05-02 07:07:00,2016-05-02 10:43:00,2016-05-02 12:10,2016-05-02 14:59,2016-05-02 12:07,2016-05-02 14:43,N840NN,340,430,B9,
AA952,Y,EWR,DFW,540,710,340,430,540,711,340.0,431.0,2.0,Domestic,0,150,A17,,2016-05-02 07:10:00,2016-05-02 11:38:00,2016-05-02 07:11:00,2016-05-02 11:37:00,2016-05-02 12:10,2016-05-02 15:38,2016-05-02 12:11,2016-05-02 15:37,N924AN,340,430,A11,
AA2603,Y,ATL,DFW,540,710,340,430,540,708,340.0,428.0,2.0,Domestic,0,150,C22,,2016-05-02 07:10:00,2016-05-02 10:18:00,2016-05-02 07:08:00,2016-05-02 10:11:00,2016-05-02 12:10,2016-05-02 14:18,2016-05-02 12:08,2016-05-02 14:11,N9615W,340,430,A23,
AA1062,Y,MCI,DFW,540,710,340,430,540,707,340.0,427.0,2.0,Domestic,0,150,C27,,2016-05-02 07:10:00,2016-05-02 08:46:00,2016-05-02 07:07:00,2016-05-02 08:31:00,2016-05-02 12:10,2016-05-02 13:46,2016-05-02 12:07,2016-05-02 13:31,N9620D,340,430,C31,
AA1298,Y,SNA,DFW,545,715,345,435,545,710,345.0,430.0,2.0,Domestic,0,150,A14,,2016-05-02 07:15:00,2016-05-02 08:32:00,2016-05-02 07:10:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 15:32,2016-05-02 12:10,2016-05-02 15:31,N953NN,345,435,A10,
AA1375,Y,LAS,DFW,545,715,345,435,545,712,345.0,432.0,2.0,Domestic,0,150,C21,,2016-05-02 07:15:00,2016-05-02 08:16:00,2016-05-02 07:12:00,2016-05-02 08:24:00,2016-05-02 12:15,2016-05-02 15:16,2016-05-02 12:12,2016-05-02 15:24,N991AN,345,435,C20,
AA3189,Y,VPS,DFW,545,715,345,435,545,710,345.0,430.0,3.0,Domestic,0,75,B12,,2016-05-02 07:15:00,2016-05-02 09:16:00,2016-05-02 07:10:00,2016-05-02 09:30:00,2016-05-02 12:15,2016-05-02 14:16,2016-05-02 12:10,2016-05-02 14:30,N225NN,345,435,C35,
AA1252,Y,PIT,DFW,545,715,345,435,545,711,345.0,431.0,2.0,Domestic,0,150,C2,,2016-05-02 07:15:00,2016-05-02 10:54:00,2016-05-02 07:11:00,2016-05-02 10:59:00,2016-05-02 12:15,2016-05-02 14:54,2016-05-02 12:11,2016-05-02 14:59,N484AA,345,435,A24,
AA2491,Y,SAN,DFW,545,710,345,430,602,714,362.0,434.0,2.0,Domestic,0,150,A15,,2016-05-02 07:10:00,2016-05-02 08:20:00,2016-05-02 07:14:00,2016-05-02 08:43:00,2016-05-02 12:10,2016-05-02 15:20,2016-05-02 12:14,2016-05-02 15:43,N143AN,345,430,B7,
AA2532,Y,MSP,DFW,545,715,345,435,545,709,345.0,429.0,2.0,Domestic,0,150,C10,,2016-05-02 07:15:00,2016-05-02 09:37:00,2016-05-02 07:09:00,2016-05-02 09:33:00,2016-05-02 12:15,2016-05-02 14:37,2016-05-02 12:09,2016-05-02 14:33,N467AA,345,435,B40,
AA185,N,DFW,LAS,545,710,345,430,602,714,362.0,434.0,2.0,,150,0,,A15,2016-05-02 00:58:00,2016-05-02 05:45:00,2016-05-02 00:58:00,2016-05-02 06:02:00,2016-05-02 07:58,2016-05-02 10:45,2016-05-02 07:58,2016-05-02 11:02,N143AN,345,430,,B7
AA2332,Y,ORD,DFW,600,730,360,450,600,741,360.0,461.0,2.0,Domestic,0,150,C20,,2016-05-02 07:30:00,2016-05-02 09:53:00,2016-05-02 07:41:00,2016-05-02 09:57:00,2016-05-02 12:30,2016-05-02 14:53,2016-05-02 12:41,2016-05-02 14:57,N481AA,360,450,B10,
AA614,Y,PHX,DFW,600,705,360,425,605,702,365.0,422.0,2.0,Domestic,0,150,C37,,2016-05-02 07:05:00,2016-05-02 07:45:00,2016-05-02 07:02:00,2016-05-02 07:45:00,2016-05-02 12:05,2016-05-02 14:45,2016-05-02 12:02,2016-05-02 14:45,N179UW,360,425,C24,
AA306,Y,IND,DFW,600,730,360,450,600,727,360.0,447.0,2.0,Domestic,0,150,C17,,2016-05-02 07:30:00,2016-05-02 10:35:00,2016-05-02 07:27:00,2016-05-02 10:44:00,2016-05-02 12:30,2016-05-02 14:35,2016-05-02 12:27,2016-05-02 14:44,N483A,360,450,A33,
AA1104,Y,LGA,DFW,600,730,360,450,600,731,360.0,451.0,2.0,Domestic,0,150,A10,,2016-05-02 07:30:00,2016-05-02 11:55:00,2016-05-02 07:31:00,2016-05-02 11:55:00,2016-05-02 12:30,2016-05-02 15:55,2016-05-02 12:31,2016-05-02 15:55,N920AN,360,450,C33,
AA614,N,DFW,SFO,600,705,360,425,605,702,365.0,422.0,2.0,Domestic,150,0,,C37,2016-05-02 00:25:00,2016-05-02 06:00:00,2016-05-02 00:23:00,2016-05-02 06:05:00,2016-05-02 07:25,2016-05-02 11:00,2016-05-02 07:23,2016-05-02 11:05,N179UW,360,425,,C24
AA2275,Y,DSM,DFW,600,730,360,450,600,749,360.0,469.0,2.0,Domestic,0,150,C24,,2016-05-02 07:30:00,2016-05-02 09:19:00,2016-05-02 07:49:00,2016-05-02 09:27:00,2016-05-02 12:30,2016-05-02 14:19,2016-05-02 12:49,2016-05-02 14:27,N9621A,360,450,C8,
AA2374,Y,DEN,DFW,603,715,363,435,606,711,366.0,431.0,2.0,Domestic,0,150,A20,,2016-05-02 07:15:00,2016-05-02 08:22:00,2016-05-02 07:11:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 14:22,2016-05-02 12:11,2016-05-02 14:31,N137AA,363,435,B29,
AA1230,N,DFW,SEA,603,715,363,435,606,711,366.0,431.0,2.0,,150,0,,A20,2016-05-02 00:10:00,2016-05-02 06:03:00,2016-05-02 00:07:00,2016-05-02 06:06:00,2016-05-02 07:10,2016-05-02 11:03,2016-05-02 07:07,2016-05-02 11:06,N137AA,363,435,,B29
AA3179,N,DFW,OKC,604,634,364,394,551,634,351.0,394.0,3.0,,75,0,,B31,2016-05-02 05:00:00,2016-05-02 06:04:00,2016-05-02 04:48:00,2016-05-02 05:51:00,2016-05-02 10:00,2016-05-02 11:04,2016-05-02 09:48,2016-05-02 10:51,N539EA,364,394,,C27
AA2186,Y,SJU,DFW,608,705,368,425,614,701,374.0,421.0,2.0,Domestic,0,150,A33,,2016-05-02 07:05:00,2016-05-02 12:44:00,2016-05-02 07:01:00,2016-05-02 12:27:00,2016-05-02 12:05,2016-05-02 16:44,2016-05-02 12:01,2016-05-02 16:27,N817NN,368,425,A13,
AA1102,N,DFW,AUS,608,705,368,425,614,701,374.0,421.0,2.0,,150,0,,A33,2016-05-02 05:05:00,2016-05-02 06:08:00,2016-05-02 05:01:00,2016-05-02 06:14:00,2016-05-02 10:05,2016-05-02 11:08,2016-05-02 10:01,2016-05-02 11:14,N817NN,368,425,,A13
AA5723,N,DFW,LBB,611,700,371,420,556,659,356.0,419.0,3.0,,75,0,,B26,2016-05-02 05:00:00,2016-05-02 06:11:00,2016-05-02 04:54:00,2016-05-02 05:56:00,2016-05-02 10:00,2016-05-02 11:11,2016-05-02 09:54,2016-05-02 10:56,N245LR,371,420,,A14
AA5782,Y,JAX,DFW,611,700,371,420,556,659,356.0,419.0,3.0,Domestic,0,75,B26,,2016-05-02 07:00:00,2016-05-02 10:28:00,2016-05-02 06:59:00,2016-05-02 10:21:00,2016-05-02 12:00,2016-05-02 14:28,2016-05-02 11:59,2016-05-02 14:21,N245LR,371,420,A14,
AA8,N,DFW,HNL,615,645,375,405,605,645,365.0,405.0,1.0,,300,0,,A24,2016-05-02 17:40:00,2016-05-03 06:15:00,2016-05-02 17:33:00,2016-05-03 06:05:00,2016-05-03 03:40,2016-05-03 11:15,2016-05-03 03:33,2016-05-03 11:05,N377AN,375,405,,C26
