FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,EnterGateTime,ExitGateTime,OptDepGate,OptArrGate
AA2180,Y,CMH,DFW,617,715,377,435,609,710,369.0,430.0,2.0,Domestic,0,150,C19,,2016-05-02 07:15:00,2016-05-02 10:39:00,2016-05-02 07:10:00,2016-05-02 10:21:00,2016-05-02 12:15,2016-05-02 14:39,2016-05-02 12:10,2016-05-02 14:21,N9405T,377,435,C11,
AA3524,Y,DAY,DFW,617,710,377,430,613,707,373.0,427.0,3.0,Domestic,0,75,B30,,2016-05-02 07:10:00,2016-05-02 10:30:00,2016-05-02 07:07:00,2016-05-02 10:50:00,2016-05-02 12:10,2016-05-02 14:30,2016-05-02 12:07,2016-05-02 14:50,N907AE,377,430,C6,
AA5735,Y,MKE,DFW,617,715,377,435,609,714,369.0,434.0,3.0,Domestic,0,75,B49,,2016-05-02 07:15:00,2016-05-02 09:36:00,2016-05-02 07:14:00,2016-05-02 09:36:00,2016-05-02 12:15,2016-05-02 14:36,2016-05-02 12:14,2016-05-02 14:36,N956LR,377,435,C14,
AA5823,N,DFW,AMA,617,715,377,435,609,714,369.0,434.0,3.0,,75,0,,B49,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:53:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:53,2016-05-02 11:09,N956LR,377,435,,C14
AA2244,N,DFW,IAH,617,715,377,435,609,710,369.0,430.0,2.0,,150,0,,C19,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:59:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:59,2016-05-02 11:09,N9405T,377,435,,C11
AA3255,N,DFW,TYR,617,710,377,430,613,707,373.0,427.0,3.0,,75,0,,B30,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 05:19:00,2016-05-02 06:13:00,2016-05-02 10:21,2016-05-02 11:17,2016-05-02 10:19,2016-05-02 11:13,N907AE,377,430,,C6
AA1255,N,DFW,TUL,617,705,377,425,616,703,376.0,423.0,2.0,,150,0,,C16,2016-05-02 05:05:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:16:00,2016-05-02 10:05,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:16,N9625W,377,425,,C10
AA1160,Y,RDU,DFW,617,705,377,425,616,703,376.0,423.0,2.0,Domestic,0,150,C16,,2016-05-02 07:05:00,2016-05-02 10:47:00,2016-05-02 07:03:00,2016-05-02 10:38:00,2016-05-02 12:05,2016-05-02 14:47,2016-05-02 12:03,2016-05-02 14:38,N9625W,377,425,C10,
AA3336,N,DFW,XNA,617,705,377,425,628,702,388.0,422.0,3.0,,75,0,,B6,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:28:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:28,N224NN,377,425,,B5
AA3158,Y,HOU,DFW,617,705,377,425,628,702,388.0,422.0,3.0,Domestic,0,75,B6,,2016-05-02 07:05:00,2016-05-02 08:21:00,2016-05-02 07:02:00,2016-05-02 08:15:00,2016-05-02 12:05,2016-05-02 13:21,2016-05-02 12:02,2016-05-02 13:15,N224NN,377,425,B5,
AA3473,Y,PNS,DFW,618,700,378,420,615,655,375.0,415.0,3.0,Domestic,0,75,B28,,2016-05-02 07:00:00,2016-05-02 08:50:00,2016-05-02 06:55:00,2016-05-02 08:46:00,2016-05-02 12:00,2016-05-02 13:50,2016-05-02 11:55,2016-05-02 13:46,N645AE,378,420,B42,
AA3642,N,DFW,CLL,618,700,378,420,615,655,375.0,415.0,3.0,,75,0,,B28,2016-05-02 05:15:00,2016-05-02 06:18:00,2016-05-02 05:08:00,2016-05-02 06:15:00,2016-05-02 10:15,2016-05-02 11:18,2016-05-02 10:08,2016-05-02 11:15,N645AE,378,420,,B42
AA2801,Y,TYS,DFW,619,715,379,435,602,710,362.0,430.0,3.0,Domestic,0,75,B27,,2016-05-02 07:15:00,2016-05-02 10:26:00,2016-05-02 07:10:00,2016-05-02 10:25:00,2016-05-02 12:15,2016-05-02 14:26,2016-05-02 12:10,2016-05-02 14:25,N864JW,379,435,B6,
AA5659,Y,HSV,DFW,619,700,379,420,622,659,382.0,419.0,3.0,Domestic,0,75,B42,,2016-05-02 07:00:00,2016-05-02 08:49:00,2016-05-02 06:59:00,2016-05-02 08:57:00,2016-05-02 12:00,2016-05-02 13:49,2016-05-02 11:59,2016-05-02 13:57,N246LR,379,420,C28,
AA2803,Y,TUL,DFW,619,715,379,435,633,715,393.0,435.0,3.0,Domestic,0,75,B29,,2016-05-02 07:15:00,2016-05-02 08:26:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:26,2016-05-02 12:15,2016-05-02 13:31,N678AE,379,435,A16,
AA5718,N,DFW,MAF,619,700,379,420,622,659,382.0,419.0,3.0,,75,0,,B42,2016-05-02 05:00:00,2016-05-02 06:19:00,2016-05-02 04:54:00,2016-05-02 06:22:00,2016-05-02 10:00,2016-05-02 11:19,2016-05-02 09:54,2016-05-02 11:22,N246LR,379,420,,C28
AA2861,N,DFW,SPS,619,715,379,435,633,715,393.0,435.0,3.0,,75,0,,B29,2016-05-02 05:27:00,2016-05-02 06:19:00,2016-05-02 05:50:00,2016-05-02 06:33:00,2016-05-02 10:27,2016-05-02 11:19,2016-05-02 10:50,2016-05-02 11:33,N678AE,379,435,,A16
AA2801,N,DFW,LAW,619,715,379,435,602,710,362.0,430.0,3.0,Domestic,75,0,,B27,2016-05-02 05:25:00,2016-05-02 06:19:00,2016-05-02 05:17:00,2016-05-02 06:02:00,2016-05-02 10:25,2016-05-02 11:19,2016-05-02 10:17,2016-05-02 11:02,N864JW,379,435,,B6
AA3431,N,DFW,ABI,621,715,381,435,617,715,377.0,435.0,3.0,Domestic,75,0,,B32,2016-05-02 05:30:00,2016-05-02 06:21:00,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 10:30,2016-05-02 11:21,2016-05-02 10:21,2016-05-02 11:17,N698CB,381,435,,C7
AA3431,Y,OKC,DFW,621,715,381,435,617,715,377.0,435.0,3.0,Domestic,0,75,B32,,2016-05-02 07:15:00,2016-05-02 08:18:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:18,2016-05-02 12:15,2016-05-02 13:31,N698CB,381,435,C7,
AA5899,Y,MEM,DFW,623,715,383,435,620,727,380.0,447.0,3.0,Domestic,0,75,B41,,2016-05-02 07:15:00,2016-05-02 08:49:00,2016-05-02 07:27:00,2016-05-02 08:59:00,2016-05-02 12:15,2016-05-02 13:49,2016-05-02 12:27,2016-05-02 13:59,N917FJ,383,435,A15,
AA5715,N,DFW,FSM,623,715,383,435,620,727,380.0,447.0,3.0,,75,0,,B41,2016-05-02 05:08:00,2016-05-02 06:23:00,2016-05-02 05:00:00,2016-05-02 06:20:00,2016-05-02 10:08,2016-05-02 11:23,2016-05-02 10:00,2016-05-02 11:20,N917FJ,383,435,,A15
AA5892,Y,IAH,DFW,624,705,384,425,631,707,391.0,427.0,3.0,Domestic,0,75,B45,,2016-05-02 07:05:00,2016-05-02 08:20:00,2016-05-02 07:07:00,2016-05-02 08:21:00,2016-05-02 12:05,2016-05-02 13:20,2016-05-02 12:07,2016-05-02 13:21,N909FJ,384,425,C29,
AA5814,N,DFW,ICT,624,705,384,425,631,707,391.0,427.0,3.0,,75,0,,B45,2016-05-02 05:00:00,2016-05-02 06:24:00,2016-05-02 04:56:00,2016-05-02 06:31:00,2016-05-02 10:00,2016-05-02 11:24,2016-05-02 09:56,2016-05-02 11:31,N909FJ,384,425,,C29
AA2813,N,DFW,ACT,625,710,385,430,635,710,395.0,430.0,3.0,,75,0,,B25,2016-05-02 05:33:00,2016-05-02 06:25:00,2016-05-02 05:58:00,2016-05-02 06:35:00,2016-05-02 10:33,2016-05-02 11:25,2016-05-02 10:58,2016-05-02 11:35,N675AE,385,430,,C4
AA2887,Y,JAN,DFW,625,710,385,430,635,710,395.0,430.0,3.0,Domestic,0,75,B25,,2016-05-02 07:10:00,2016-05-02 08:39:00,2016-05-02 07:10:00,2016-05-02 08:40:00,2016-05-02 12:10,2016-05-02 13:39,2016-05-02 12:10,2016-05-02 13:40,N675AE,385,430,C4,
AA3160,N,DFW,CRP,627,710,387,430,630,708,390.0,428.0,3.0,,75,0,,B7,2016-05-02 05:00:00,2016-05-02 06:27:00,2016-05-02 04:50:00,2016-05-02 06:30:00,2016-05-02 10:00,2016-05-02 11:27,2016-05-02 09:50,2016-05-02 11:30,N228NN,387,430,,B28
AA3243,Y,OMA,DFW,627,710,387,430,630,708,390.0,428.0,3.0,Domestic,0,75,B7,,2016-05-02 07:10:00,2016-05-02 08:59:00,2016-05-02 07:08:00,2016-05-02 08:52:00,2016-05-02 12:10,2016-05-02 13:59,2016-05-02 12:08,2016-05-02 13:52,N228NN,387,430,B28,
AA3150,N,DFW,SGF,628,658,388,418,648,843,408.0,523.0,3.0,,75,0,,B44,2016-05-02 05:00:00,2016-05-02 06:28:00,2016-05-02 05:09:00,2016-05-02 06:48:00,2016-05-02 10:00,2016-05-02 11:28,2016-05-02 10:09,2016-05-02 11:48,N649PP,388,418,,B27
AA5841,N,DFW,HOU,634,730,394,450,624,729,384.0,449.0,3.0,,75,0,,B46,2016-05-02 05:24:00,2016-05-02 06:34:00,2016-05-02 05:15:00,2016-05-02 06:24:00,2016-05-02 10:24,2016-05-02 11:34,2016-05-02 10:15,2016-05-02 11:24,N939LR,394,450,,C27
AA5725,Y,CVG,DFW,634,730,394,450,624,729,384.0,449.0,3.0,Domestic,0,75,B46,,2016-05-02 07:30:00,2016-05-02 10:47:00,2016-05-02 07:29:00,2016-05-02 10:43:00,2016-05-02 12:30,2016-05-02 14:47,2016-05-02 12:29,2016-05-02 14:43,N939LR,394,450,C27,
AA5768,Y,SDF,DFW,647,750,407,470,635,749,395.0,469.0,3.0,Domestic,0,75,B1,,2016-05-02 07:50:00,2016-05-02 10:48:00,2016-05-02 07:49:00,2016-05-02 10:46:00,2016-05-02 12:50,2016-05-02 14:48,2016-05-02 12:49,2016-05-02 14:46,N954LR,407,470,C26,
AA5764,N,DFW,MTY,647,750,407,470,635,749,395.0,469.0,3.0,,75,0,,B1,2016-05-02 05:00:00,2016-05-02 06:47:00,2016-05-02 04:55:00,2016-05-02 06:35:00,2016-05-02 10:00,2016-05-02 11:47,2016-05-02 09:55,2016-05-02 11:35,N954LR,407,470,,C26
AA585,Y,PHL,DFW,655,825,415,505,655,823,415.0,503.0,2.0,Domestic,0,150,C39,,2016-05-02 08:25:00,2016-05-02 12:35:00,2016-05-02 08:23:00,2016-05-02 12:10:00,2016-05-02 13:25,2016-05-02 16:35,2016-05-02 13:23,2016-05-02 16:10,N192UW,415,505,A22,
AA495,Y,PHX,DFW,655,825,415,505,655,821,415.0,501.0,2.0,Domestic,0,150,C33,,2016-05-02 08:25:00,2016-05-02 08:59:00,2016-05-02 08:21:00,2016-05-02 08:49:00,2016-05-02 13:25,2016-05-02 15:59,2016-05-02 13:21,2016-05-02 15:49,N584UW,415,505,C22,
AA2184,N,DFW,OKC,700,755,420,475,657,754,417.0,474.0,2.0,,150,0,,C35,2016-05-02 06:00:00,2016-05-02 07:00:00,2016-05-02 05:57:00,2016-05-02 06:57:00,2016-05-02 11:00,2016-05-02 12:00,2016-05-02 10:57,2016-05-02 11:57,N7541A,420,475,,C12
AA2419,Y,DTW,DFW,700,755,420,475,657,754,417.0,474.0,2.0,Domestic,0,150,C35,,2016-05-02 07:55:00,2016-05-02 11:31:00,2016-05-02 07:54:00,2016-05-02 11:13:00,2016-05-02 12:55,2016-05-02 15:31,2016-05-02 12:54,2016-05-02 15:13,N7541A,420,475,C12,
AA887,Y,CLT,DFW,710,840,430,520,710,834,430.0,514.0,2.0,Domestic,0,150,C36,,2016-05-02 08:40:00,2016-05-02 12:14:00,2016-05-02 08:34:00,2016-05-02 12:08:00,2016-05-02 13:40,2016-05-02 16:14,2016-05-02 13:34,2016-05-02 16:08,N912UY,430,520,C21,
AA3685,Y,XNA,DFW,715,845,435,525,715,843,435.0,523.0,3.0,Domestic,0,75,B37,,2016-05-02 08:45:00,2016-05-02 09:55:00,2016-05-02 08:43:00,2016-05-02 10:01:00,2016-05-02 13:45,2016-05-02 14:55,2016-05-02 13:43,2016-05-02 15:01,N843AE,435,525,B9,
AA3428,Y,SGF,DFW,715,845,435,525,648,843,408.0,523.0,3.0,Domestic,0,75,B44,,2016-05-02 08:45:00,2016-05-02 10:03:00,2016-05-02 08:43:00,2016-05-02 09:52:00,2016-05-02 13:45,2016-05-02 15:03,2016-05-02 13:43,2016-05-02 14:52,N649PP,435,525,B27,
AA1402,Y,SEA,DFW,715,845,435,525,715,840,435.0,520.0,2.0,Domestic,0,150,A25,,2016-05-02 08:45:00,2016-05-02 11:00:00,2016-05-02 08:40:00,2016-05-02 10:30:00,2016-05-02 13:45,2016-05-02 18:00,2016-05-02 13:40,2016-05-02 17:30,N145AN,435,525,A11,
AA3210,N,DFW,LIT,719,800,439,480,719,756,439.0,476.0,3.0,,75,0,,B5,2016-05-02 05:58:00,2016-05-02 07:19:00,2016-05-02 06:03:00,2016-05-02 07:19:00,2016-05-02 10:58,2016-05-02 12:19,2016-05-02 11:03,2016-05-02 12:19,N230NN,439,480,,B7
AA3139,Y,XNA,DFW,719,800,439,480,719,756,439.0,476.0,3.0,Domestic,0,75,B5,,2016-05-02 08:00:00,2016-05-02 09:07:00,2016-05-02 07:56:00,2016-05-02 09:03:00,2016-05-02 13:00,2016-05-02 14:07,2016-05-02 12:56,2016-05-02 14:03,N230NN,439,480,B7,
AA277,Y,SAN,DFW,720,850,440,530,720,849,440.0,529.0,2.0,Domestic,0,150,A11,,2016-05-02 08:50:00,2016-05-02 10:02:00,2016-05-02 08:49:00,2016-05-02 10:21:00,2016-05-02 13:50,2016-05-02 17:02,2016-05-02 13:49,2016-05-02 17:21,N677AN,440,530,C10,
AA3299,Y,DRO,DFW,720,850,440,530,720,847,440.0,527.0,3.0,Domestic,0,75,B15,,2016-05-02 08:50:00,2016-05-02 09:58:00,2016-05-02 08:47:00,2016-05-02 10:01:00,2016-05-02 13:50,2016-05-02 15:58,2016-05-02 13:47,2016-05-02 16:01,N939AE,440,530,A23,
AA2832,Y,SPS,DFW,720,850,440,530,720,918,440.0,558.0,3.0,Domestic,0,75,B30,,2016-05-02 08:50:00,2016-05-02 09:46:00,2016-05-02 09:18:00,2016-05-02 10:10:00,2016-05-02 13:50,2016-05-02 14:46,2016-05-02 14:18,2016-05-02 15:10,N673AE,440,530,B40,
AA2757,Y,BRO,DFW,720,850,440,530,720,845,440.0,525.0,3.0,Domestic,0,75,B28,,2016-05-02 08:50:00,2016-05-02 10:32:00,2016-05-02 08:45:00,2016-05-02 10:52:00,2016-05-02 13:50,2016-05-02 15:32,2016-05-02 13:45,2016-05-02 15:52,N677AE,440,530,C31,
AA3163,N,DFW,SAV,729,810,449,490,711,808,431.0,488.0,3.0,,75,0,,B11,2016-05-02 05:35:00,2016-05-02 07:29:00,2016-05-02 05:28:00,2016-05-02 07:11:00,2016-05-02 09:35,2016-05-02 12:29,2016-05-02 09:28,2016-05-02 12:11,N226NN,449,490,,B29
AA2301,N,DFW,ORD,729,855,449,535,733,854,453.0,534.0,2.0,,150,0,,C26,2016-05-02 05:00:00,2016-05-02 07:29:00,2016-05-02 04:54:00,2016-05-02 07:33:00,2016-05-02 10:00,2016-05-02 12:29,2016-05-02 09:54,2016-05-02 12:33,N983TW,449,535,,C11
AA2510,Y,SLC,DFW,729,855,449,535,733,854,453.0,534.0,2.0,Domestic,0,150,C26,,2016-05-02 08:55:00,2016-05-02 10:47:00,2016-05-02 08:54:00,2016-05-02 10:37:00,2016-05-02 13:55,2016-05-02 16:47,2016-05-02 13:54,2016-05-02 16:37,N983TW,449,535,C11,
AA3313,Y,LIT,DFW,729,810,449,490,711,808,431.0,488.0,3.0,Domestic,0,75,B11,,2016-05-02 08:10:00,2016-05-02 09:21:00,2016-05-02 08:08:00,2016-05-02 09:35:00,2016-05-02 13:10,2016-05-02 14:21,2016-05-02 13:08,2016-05-02 14:35,N226NN,449,490,B29,
